date,price,last_update
2026-08-28,2.229,2026-08-28T12:11:37+02:00
2026-08-29,2.169,2026-08-29T07:25:12+02:00
2026-08-30,2.169,2026-08-29T07:25:12+02:00
2026-09-01,2.209,2026-09-01T12:11:32+02:00
2026-09-02,2.229,2026-09-02T12:08:33+02:00
2026-09-03,2.269,2026-09-03T12:10:00+02:00
2026-09-04,2.299,2026-09-04T12:14:54+02:00
2026-09-05,2.279,2026-09-04T18:23:44+02:00
2026-09-08,2.299,2026-09-08T12:10:23+02:00
2026-09-09,2.309,2026-09-09T12:14:49+02:00
2026-09-10,2.309,2026-09-10T12:10:28+02:00
2026-09-11,2.289,2026-09-11T07:23:56+02:00
2026-09-12,2.319,2026-09-12T07:57:16+02:00
2026-09-13,2.319,2026-09-12T07:57:16+02:00
2026-09-15,2.409,2026-09-15T12:04:42+02:00
2026-09-16,2.439,2026-09-16T12:03:59+02:00
2026-09-17,2.459,2026-09-17T12:04:26+02:00
2026-09-18,2.449,2026-09-18T12:07:07+02:00
2026-09-19,2.399,2026-09-18T16:31:58+02:00
2026-09-22,2.479,2026-09-22T12:04:40+02:00
2026-09-23,2.479,2026-09-23T12:04:21+02:00
2026-09-24,2.439,2026-09-24T12:03:11+02:00
