date,price,last_update
2026-09-08,2.479,2026-09-08T12:07:21+02:00
2026-09-09,2.469,2026-09-09T12:07:43+02:00
2026-09-10,2.469,2026-09-10T12:07:24+02:00
2026-09-11,2.469,2026-09-11T12:07:29+02:00
2026-09-12,2.489,2026-09-12T12:06:55+02:00
2026-09-13,2.529,2026-09-13T12:07:37+02:00
2026-09-14,2.579,2026-09-14T12:07:33+02:00
2026-09-15,2.599,2026-09-15T12:07:45+02:00
2026-09-16,2.579,2026-09-16T12:07:04+02:00
2026-09-17,2.579,2026-09-17T12:07:30+02:00
2026-09-18,2.579,2026-09-18T12:07:07+02:00
2026-09-19,2.579,2026-09-19T12:07:50+02:00
2026-09-20,2.549,2026-09-20T12:07:22+02:00
2026-09-21,2.579,2026-09-21T12:08:20+02:00
